E_name,gender,location,rent_breed,return_die,from,to,FLAG,,,,
Yongming,Male,Adventure World,rented,return,1994/09/06,2023/02/22,RETRIEVED,,,Row Labels,Count of E_name
Renhin,Female,Adventure World,rented,die,1994/09/06,1997/07/17,GIFTED,,4,CONTRIBUTION,19
Plum plum,Female,Adventure World,breed,die,2000/07/07,2008/10/15,HOMEGROWN,,1,GIFTED,8
Ryohin,Female,Adventure World,breed,return,2000/09/06,2025/06/28,CONTRIBUTION,,3,HOMEGROWN,4
Ohin,Male,Adventure World,breed,return,2001/12/17,2004/06/21,CONTRIBUTION,,2,RETRIEVED,5
RyuHin,Male,Adventure World,breed,return,2003/09/08,2007/10/27,CONTRIBUTION,,,(blank),1
Shuhin,Male,Adventure World,breed,return,2003/09/08,2007/10/27,CONTRIBUTION,,,Grand Total,37
Sachihin,Male,Adventure World,breed,return,2005/08/23,2010/03/15,CONTRIBUTION,,,,
Aihin,Female,Adventure World,breed,return,2006/12/23,2012/12/14,CONTRIBUTION,,,type,number of pandas
Minghin,Male,Adventure World,breed,return,2006/12/23,2012/12/14,CONTRIBUTION,,1,GIFTED,8
Umehin,Female,Adventure World,breed,return,2008/09/13,2013/02/26,CONTRIBUTION,,2,RETRIEVED,5
Eihin,Male,Adventure World,breed,return,2008/09/13,2013/02/26,CONTRIBUTION,,3,HOMEGROWN,4
Haihin,Male,Adventure World,breed,return,2010/08/11,2017/06/05,CONTRIBUTION,,4,CONTRIBUTION,19
Yangbin,Female,Adventure World,breed,return,2010/08/11,2017/06/05,CONTRIBUTION,,,,
Yuhin,Female,Adventure World,breed,return,2012/08/10,2017/06/05,CONTRIBUTION,,,,
Ouhin,Female,Adventure World,breed,return,2014/12/02,2023/02/22,CONTRIBUTION,,,,
Touhin,Female,Adventure World,breed,return,2014/12/02,2023/02/22,CONTRIBUTION,,,,
Yuihin,Female,Adventure World,breed,return,2016/09/18,2025/06/28,CONTRIBUTION,,,,
Saihin,Female,Adventure World,breed,return,2018/08/14,2025/06/28,CONTRIBUTION,,,,
HuHin,Female,Adventure World,breed,return,2020/11/22,2025/06/28,CONTRIBUTION,,,,
kouKou,Female,Kobe City Oji Zoo,rented,return,2000/07/16,2002/12/05,RETRIEVED,,,,
Tintin,Female,Kobe City Oji Zoo,rented,current,2000/07/16,2024/03/31,RETRIEVED,,,,
kouKou Jr.,Male,Kobe City Oji Zoo,rented,die,2002/12/09,2010/09/14,GIFTED,,,,
Kang Kang,Male,Ueno Zoo,rented,die,1972/10/28,1980/06/30,GIFTED,,,,
Lan Lan,Female,Ueno Zoo,rented,die,1972/10/28,1979/09/04,GIFTED,,,,
Huan Huan,Female,Ueno Zoo,rented,die,1980/01/29,1997/09/21,GIFTED,,,,
Fei Fei,Male,Ueno Zoo,rented,die,1982/11/09,1994/12/14,GIFTED,,,,
Chu Chu,Male,Ueno Zoo,breed,die,1985/06/27,1985/06/29,,INFANT_DEATH,,,
Tong Tong,Female,Ueno Zoo,breed,die,1986/06/01,2000/07/08,HOMEGROWN,,,,
You You,Male,Ueno Zoo,breed,die,1988/06/23,1992/11/13,HOMEGROWN,,,,
Ling Ling,Male,Ueno Zoo,rented,die,1992/11/05,2008/04/30,GIFTED,,,,
Shuan Shuan,Female,Ueno Zoo,rented_from_mexico,die,2003/12/03,2005/09/26,RETRIEVED,,,,
Ri Ri,Male,Ueno Zoo,rented,return,2011/02/21,2024/09/29,RETRIEVED,,,,
Shin Shin,Female,Ueno Zoo,rented,die,2011/02/21,2024/09/29,GIFTED,,,,
Xiang Xiang,Female,Ueno Zoo,breed,die,2017/06/12,2023/02/21,HOMEGROWN,,,,
Hsiao-hsiao,Male,Ueno Zoo,breed,current,2021/06/23,2026/02/28,CONTRIBUTION,,,,
Ray Ray,Female,Ueno Zoo,breed,current,2021/06/23,2026/02/28,CONTRIBUTION,,,,
